=== КАЛЕНДАРЬ ПЛАТЕЖЕЙ ===

КАЛЕНДАРЬ ПЛАТЕЖЕЙ — ИЮЛЬ 2026 — ДЕКАБРЬ 2026 |  |  |  |  |  | 

№ | Дата | Действие | Сумма, ₽ | Способ | Баланс | Альфа

ИЮЛЬ |  |  |  |  |  | 

1 | 25.07 | Аванс + продажа ПК | +55 000 | Поступление | 55 000 | 230 000
2 | 25.07 | Закрыть Т-Банк | −15 401 | Перевод | 39 599 | 230 000
3 | 25-31.07 | Мафия + жизнь | −6 100 | Наличные | 33 499 | 230 000
4 | 31.07 | Сбер — мин. (на Т-Банк) | −26 455 | Кредитная Т-Банк | 33 499 | 230 000
5 | 31.07 |  АЛЬФА | −33 499 | Перевод | 0 | 196 501

АВГУСТ |  |  |  |  |  | 

6 | 01-10.08 | Расходы (еда, такси) | 30 000 | Кредитная Т-Банк | 0 | 196 501
7 | 10.08 | Зарплата + продажа деталей | +105 000 | Поступление | 105 000 | 196 501
8 | 10.08 | Вернуть Т-Банку | −30 000 | Перевод | 75 000 | 196 501
9 | 10.08 | Мафия 01-10.08 | −3 500 | Наличные | 71 500 | 196 501
10 | 10.08 |  АЛЬФА | −55 000 | Перевод | 16 500 | 141 501
11 | 11-24.08 | Расходы + мафия + Халва | −21 600 | Т-Банк+нал | −5 100 | 141 501
12 | 25.08 | Аванс | +25 000 | Поступление | 19 900 | 141 501
13 | 25.08 | Мафия + жизнь | −8 000 | Наличные | 11 900 | 141 501
14 | 25.08 |  АЛЬФА | −11 900 | Перевод | 0 | 129 601
15 | 31.08 | Сбер — мин. | −20 000 | Кредитная Т-Банк | 0 | 129 601

СЕНТЯБРЬ |  |  |  |  |  | 

16 | 01-10.09 | Расходы (еда, такси) | 10 000 | Кредитная Т-Банк | 0 | 129 601
17 | 10.09 | Зарплата | +60 000 | Поступление | 60 000 | 129 601
18 | 10.09 | Вернуть Т-Банку | −21 000 | Перевод | 39 000 | 129 601
19 | 10.09 | Мафия + Халва + Т-Банк мин | −10 100 | Наличные | 28 900 | 129 601
20 | 10.09 |  АЛЬФА | −28 900 | Перевод | 0 | 100 701
21 | 11-24.09 | Расходы + мафия | −17 500 | Т-Банк+нал | −17 500 | 100 701
22 | 25.09 | Аванс | +30 000 | Поступление | 12 500 | 100 701
23 | 25.09 |  АЛЬФА | −12 500 | Перевод | 0 | 88 201
24 | 30.09 | Сбер — мин. | −20 000 | Кредитная Т-Банк | 0 | 88 201

ОКТЯБРЬ —  ФИТНЕС |  |  |  |  |  | 

25 | ~10.10 | Фитнес (на Т-Банк) | −30 000 | Кредитная Т-Банк | 0 | 88 201
26 | 10.10 | Зарплата + возврат фитнеса | +56 500 | Поступление | 56 500 | 88 201
27 | 10.10 | Вернуть Т-Банку (29К+10К) | −39 000 | Перевод | 17 500 | 88 201
28 | 10.10 | Мафия + Халва + мин | −10 100 | Наличные | 7 400 | 88 201
29 | 10.10 |  АЛЬФА | −7 400 | Перевод | 0 | 80 801
30 | 11-24.10 | Расходы + мафия | −17 500 | Т-Банк+нал | −17 500 | 80 801
31 | 25.10 | Аванс | +35 000 | Поступление | 17 500 | 80 801
32 | 25.10 | Вернуть фитнес (20К) + мафия | −28 000 | Перевод+нал | −10 500 | 80 801
33 | 25.10 |  АЛЬФА | −10 500 | Перевод | 0 | 70 301
34 | 31.10 | Сбер — мин. | −20 000 | Кредитная Т-Банк | 0 | 70 301

НОЯБРЬ —  СТЕЛЛАЖ |  |  |  |  |  | 

35 | ~01.11 | Стеллаж | −20 000 | Наличные | −20 000 | 70 301
36 | 10.11 | Зарплата (60−5ПК) + фитнес | +56 500 | Поступление | 36 500 | 70 301
37 | 10.11 | Вернуть Т-Банку (31 000) | −31 000 | Перевод | 5 500 | 70 301
38 | 10.11 | Мафия + Халва + мин | −11 100 | Наличные | −5 600 | 70 301
39 | 10.11 |  АЛЬФА | −6 400 | Перевод | 0 | 63 901
40 | 11-24.11 | Расходы + мафия | −17 500 | Т-Банк+нал | −17 500 | 63 901
41 | 25.11 | Аванс | +35 000 | Поступление | 17 500 | 63 901
42 | 25.11 |  АЛЬФА | −14 000 | Перевод | 3 500 | 49 901
43 | 30.11 | Сбер — мин. | −20 000 | Кредитная Т-Банк | 3 500 | 49 901

ДЕКАБРЬ — АЛЬФА = 0  |  |  |  |  |  | 

44 | 10.12 | Зарплата (60−5ПК) + фитнес | +56 500 | Поступление | 60 000 | 49 901
45 | 10.12 | Вернуть Т-Банку (30 000) | −30 000 | Перевод | 30 000 | 49 901
46 | 10.12 | Мафия + Халва + мин | −10 100 | Наличные | 19 900 | 49 901
47 | 10.12 |  АЛЬФА | −19 900 | Перевод | 0 | 30 001
48 | 25.12 | Аванс | +35 000 | Поступление | 35 000 | 30 001
49 | 25.12 |  АЛЬФА — ЗАКРЫТЬ | −30 001 | Перевод | 4 999 | 0 
50 | 31.12 | Сбер — мин. | −20 000 | Кредитная Т-Банк | 4 999 | 0
