date,book,author,digest_kb,quotes_total,quotes_passed,quotes_rate,numbers_total,numbers_found,judge,ideas_count,final_words,time_min

2026-08-01 17:13,Адам_Смит_Богатство_народов_ПОЛНЫЙ_ТЕКСТ,Адам,67.8,13,11,0.846,4,2,0,2019,1.4

2026-08-01 18:09,Адам_Смит_Богатство_народов_ПОЛНЫЙ_ТЕКСТ,Адам,67.8,13,11,0.846,4,2,qwen3.5:latest,0,2019,3.32026-08-01 18:33,Адам_Смит_Богатство_народов_ПОЛНЫЙ_ТЕКСТ,Адам,67.8,12,11,0.917,1,1,qwen3.5:latest,0,2166,4.0
2026-08-02 00:48,Майкл_Портер_Конкурентная_стратегия,Майкл Портер,67.8,13,9,0.692,12,2,qwen3.5:latest,0,2099,8.3
2026-08-02 00:56,Марк_Гоулстон_Я_слышу_вас_насквозь,Марк Гоулстон,67.8,21,18,0.857,0,0,qwen3.5:latest,0,2126,7.4
2026-08-02 01:04,Аарон_Бек_КПТ_расстройств_личности,Аарон Бек,67.8,15,12,0.8,1,1,qwen3.5:latest,0,2178,8.2
2026-08-02 11:10,Анджела_Дакворт_Твёрдость_характера,Анджела Дакворт,67.8,14,11,0.786,1,0,qwen3.5:latest,0,1838,7.9
2026-08-02 11:18,Даниэль_Канеман_Думай_медленно,Даниэль Канеман,67.8,13,12,0.923,1,1,qwen3.5:latest,0,2227,7.7
2026-08-02 11:29,Джордан_Питерсон_12_правил_жизни,Джордан Питерсон,67.8,15,14,0.933,1,1,qwen3.5:latest,0,2188,11.4
2026-08-02 11:36,Дэвид_Бёрнс_Терапия_настроения,Дэвид Бёрнс,67.8,19,19,1.0,2,2,qwen3.5:latest,0,1972,6.6
2026-08-02 11:41,Ирвин_Ялом_Экзистенциальная_психотерапия,Ирвин Ялом,67.8,6,2,0.333,1,1,qwen3.5:latest,7,1179,5.1
2026-08-02 11:51,Келли_Макгонигал_Сила_воли,Келли Макгонигал,67.8,15,7,0.467,0,0,qwen3.5:latest,0,1632,9.7
2026-08-02 11:58,Кэрол_Дуэк_Гибкое_сознание,Кэрол Дуэк,67.8,15,15,1.0,0,0,qwen3.5:latest,0,1799,7.2
2026-08-02 12:15,Натаниэль_Бранден_Шесть_столпов_самооценки,Натаниэль Бранден,67.8,17,16,0.941,0,0,qwen3.5:latest,0,1879,10.4
2026-08-02 12:24,Роберт_Сапольски_Психология_стресса,Роберт Сапольски,67.8,19,15,0.789,2,2,qwen3.5:latest,0,2191,8.6
