date,book,author,digest_kb,quotes_total,quotes_passed,quotes_rate,numbers_total,numbers_found,judge,ideas_count,final_words,time_min
2026-08-02 20:37,Грег_Маккеон_Эссенциализм,Грег Маккеон,67.8,37,24,0.649,2,2,opencode/deepseek-v4-flash-free,7,2217,1.5
2026-08-02 20:55,Грег_Маккеон_Эссенциализм,Грег Маккеон,67.8,42,20,0.476,12,12,opencode/deepseek-v4-flash-free,0,2395,2.5
2026-08-02 20:58,Майкл_Портер_Конкурентная_стратегия,Майкл Портер,67.8,46,26,0.565,28,28,opencode/deepseek-v4-flash-free,0,2090,2.9
2026-08-02 21:01,Марк_Гоулстон_Я_слышу_вас_насквозь,Марк Гоулстон,67.8,67,31,0.463,0,0,opencode/deepseek-v4-flash-free,0,2687,2.9
2026-08-02 21:04,Аарон_Бек_КПТ_расстройств_личности,Аарон Бек,67.8,41,29,0.707,13,12,opencode/deepseek-v4-flash-free,7,1741,2.4
2026-08-02 21:05,Анджела_Дакворт_Твёрдость_характера,Анджела Дакворт,67.8,51,37,0.725,0,0,opencode/deepseek-v4-flash-free,7,1885,1.3
2026-08-02 21:08,Даниэль_Канеман_Думай_медленно,Даниэль Канеман,67.8,52,31,0.596,4,4,opencode/deepseek-v4-flash-free,0,1942,2.8
2026-08-02 21:12,Джордан_Питерсон_12_правил_жизни,Джордан Питерсон,67.8,51,19,0.373,2,2,opencode/deepseek-v4-flash-free,7,2220,3.8
2026-08-02 21:13,Дэвид_Бёрнс_Терапия_настроения,Дэвид Бёрнс,67.8,27,17,0.63,8,7,opencode/deepseek-v4-flash-free,0,2433,1.6
2026-08-02 21:18,Ирвин_Ялом_Экзистенциальная_психотерапия,Ирвин Ялом,67.8,74,42,0.568,2,1,opencode/deepseek-v4-flash-free,0,2656,4.4
2026-08-02 21:20,Келли_Макгонигал_Сила_воли,Келли Макгонигал,67.8,64,37,0.578,5,5,opencode/deepseek-v4-flash-free,0,2108,2.0
2026-08-02 21:23,Кэрол_Дуэк_Гибкое_сознание,Кэрол Дуэк,67.8,43,23,0.535,1,1,opencode/deepseek-v4-flash-free,7,2587,3.0
2026-08-02 21:25,Роберт_Сапольски_Психология_стресса,Роберт Сапольски,67.8,30,17,0.567,2,2,opencode/deepseek-v4-flash-free,7,2046,2.6
2026-08-02 21:27,Грег_Маккеон_Эссенциализм,Грег Маккеон,67.8,97,67,0.691,17,17,opencode/deepseek-v4-flash-free,7,2614,2.0
2026-08-02 21:28,Джеймс_Клир_Атомные_привычки,Джеймс Клир,67.8,34,29,0.853,13,13,opencode/deepseek-v4-flash-free,7,1793,1.3
2026-08-02 21:32,Дэниел_Гоулман_Эмоциональный_интеллект,Дэниел Гоулман,67.8,18,11,0.611,2,2,opencode/deepseek-v4-flash-free,2,1780,3.6
2026-08-02 21:36,Михай_Чиксентмихайи_Поток,Михай Чиксентмихайи,67.8,30,18,0.6,2,2,opencode/deepseek-v4-flash-free,0,2324,4.3
2026-08-02 21:39,Стивен_Кови_7_навыков,Стивен Кови,67.8,79,56,0.709,9,9,opencode/deepseek-v4-flash-free,0,2016,2.5
2026-08-02 21:40,Чарлз_Дахигг_Сила_привычки,Чарлз Дахигг,67.8,19,5,0.263,3,3,opencode/deepseek-v4-flash-free,7,1580,1.4
2026-08-02 21:42,Глеб_Архангельский_Организация_времени,Глеб Архангельский,67.8,55,36,0.655,5,5,opencode/deepseek-v4-flash-free,0,2156,1.8
2026-08-02 21:44,Дэвид_Аллен_Как_привести_дела_в_порядок,Дэвид Аллен,67.8,70,39,0.557,1,1,opencode/deepseek-v4-flash-free,0,1860,2.1
2026-08-02 21:46,Морган_Хаузел_Психология_денег,Морган Хаузел,67.8,29,26,0.897,3,2,opencode/deepseek-v4-flash-free,21,2178,2.2
2026-08-02 21:48,Питер_Бернстайн_Против_богов,Питер Бернстайн,67.8,43,28,0.651,7,7,opencode/deepseek-v4-flash-free,7,1937,1.8
2026-08-02 21:51,Ха_Джун_Чанг_Как_устроена_экономика,Ха-Джун Чанг,67.8,60,38,0.633,6,6,opencode/deepseek-v4-flash-free,7,2259,2.4
2026-08-02 21:52,Эдвин_Лефевр_Воспоминания_биржевого_спекулянта,Эдвин Лефевр,67.8,25,11,0.44,1,1,opencode/deepseek-v4-flash-free,0,1963,1.8
2026-08-02 21:59,Натаниэль_Бранден_Шесть_столпов_самооценки,Натаниэль Бранден,67.8,25,15,0.6,9,9,opencode/deepseek-v4-flash-free,7,2372,2.2
